0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0,0,0,-72,-68,-72,0,-63,-71,-67,-66,-57,-67,0,-61,-66,-70,-67,-62,-65,-64,-58,-55,-61,-70,-70,-61,-64,-63,-68,-51,-62,-54,-54,-64,-68,-61,-66,-66,-67,-68,-65,-66,-61,-65,-72,-66,-66,-64,3.0,3.78
-60,-55,-52,-62,-67,-20,-43,-63,-57,-46,-65,-50,-67,-68,-42,-69,-59,-65,-66,-57,-68,-70,-66,-61,-65,0,-65,-65,-68,-66,-61,-63,-62,-69,-67,-63,-72,-70,-66,-69,-65,-59,-69,-69,-67,-71,-71,-72,-72,-71,3.79,0.14
-53,-48,-60,-54,-54,-55,-65,-20,-65,-53,-20,-51,-20,-20,-59,-56,-20,-20,-51,-20,-66,-20,-64,-54,-62,-60,-20,-62,-60,-48,-57,-54,-47,-62,-67,-20,-66,-69,-67,-65,-69,-62,-67,-69,-70,-68,-63,-72,-71,-67,4.55,1.16
-69,-68,-56,-70,-57,0,-71,-69,0,-65,-59,-69,-67,-68,-71,-61,0,-68,0,-66,-61,-66,-63,-66,-50,-54,-61,-72,-58,-67,-72,-67,-70,-70,-63,-67,-66,-73,-61,-65,-72,-64,-68,-69,-66,-71,-72,-65,-73,-72,2.53,1.42
-73,-70,-69,-67,-74,-60,-71,-64,-70,-72,-69,-66,-67,-63,-68,-58,-51,0,0,-62,-65,-53,-62,-63,-61,-60,-20,-56,-56,-57,-72,-62,0,-55,-20,-20,-67,-20,-55,-54,-52,-20,-20,-58,-20,-59,-20,-55,-57,-58,4.98,3.96
-68,-67,-67,-70,-69,-63,-70,-70,-70,-69,-67,-66,-68,-58,-63,-68,-57,-72,-65,-62,-66,-69,-58,-64,-69,-69,-67,-62,-69,-66,-64,-66,-63,-59,-73,-64,-68,-62,-70,-63,-68,-60,-66,-71,-65,-67,-69,-70,-68,-65,2.25,2.31
0,-54,-66,-57,-48,-59,-60,-56,-68,-56,-58,-66,-70,-67,-64,-71,0,-67,-62,-67,-66,-66,-72,-67,-65,-62,-67,-73,-66,-63,-72,-68,-64,-67,-66,-70,-73,-71,-69,0,0,-69,0,-71,-68,0,0,-73,0,-73,2.87,0.57
-68,-69,-66,-65,-70,-72,-68,-68,-71,-74,-70,-72,-70,-70,-64,-71,-65,-69,-71,-69,-69,-70,-72,-69,-72,-72,-63,-66,-69,-67,-59,-71,-70,-73,-70,-69,-62,-69,-72,-66,-67,-68,-72,-71,-70,-71,-72,-71,-71,-73,1.38,2.6
-73,0,-66,-70,-70,-70,-71,-70,-69,-66,-71,-64,-69,-65,-71,-65,-63,-66,-56,-65,0,0,0,0,0,-66,-60,-73,0,-55,0,-57,0,-39,-54,-66,-47,-60,-62,-60,-49,-67,-65,-20,-61,-49,-55,-57,-61,-20,3.87,3.89
-73,-70,-72,-69,-71,-73,-72,-73,-71,-73,-73,-69,-66,-73,-71,-70,-72,-71,-68,-73,-72,-72,-71,-70,-70,-70,-73,-73,-72,-70,-72,-69,-67,-66,-68,-73,-71,-70,-70,-68,-69,-74,-68,0,0,0,0,-69,-70,-70,0.72,2.3
