,X,y,PX,Py
0,0.21,3.47,0.24514732,3.5291204
1,1.13,1.96,1.196976,2.037458
2,3.38,2.58,3.509076,2.6938906
3,4.07,2.72,4.2304707,2.8458288
4,1.58,2.47,1.647689,2.5439618
5,3.43,1.61,3.5689168,1.6979601
6,1.22,0.74,1.3164221,0.7845261
7,2.33,1.97,2.4330425,2.037741
8,0.33,3.56,0.35567555,3.628693
9,3.53,4.28,3.6551976,4.4906454
10,4.42,3.69,4.6362486,3.8669047
11,3.67,0.34,3.8312902,0.33949697
12,2.57,0.37,2.6940484,0.39763004
13,3.14,3.22,3.2442536,3.3320003
14,4.76,3.34,4.9183393,3.46553
15,1.7,3.71,1.7700006,3.7856345
16,3.5,1.2,3.6265874,1.2781205
17,0.68,4.65,0.63959575,4.7527833
18,1.09,4.59,1.0754651,4.72371
19,0.25,3.7,0.2706439,3.7721767
