,X,y,PX,Py
0,0.21,3.47,0.98519206,2.9715376
1,1.13,1.96,0.33563453,2.4301667
2,3.38,2.58,4.358854,3.1211746
3,4.07,2.72,4.273503,2.6586473
4,1.58,2.47,1.0014704,2.9836216
5,3.43,1.61,3.7599492,1.6520717
6,1.22,0.74,2.0265832,-0.079643786
7,2.33,1.97,1.3549564,3.2296984
8,0.33,3.56,1.0596542,3.0262618
9,3.53,4.28,3.7059984,3.9822974
10,4.42,3.69,4.3536277,3.2940328
11,3.67,0.34,3.203012,0.95857954
12,2.57,0.37,2.782704,0.53717685
13,3.14,3.22,3.7879047,3.963034
14,4.76,3.34,4.3086753,2.784966
15,1.7,3.71,1.8644145,3.5310855
16,3.5,1.2,3.5048246,1.3095435
17,0.68,4.65,1.5544324,3.355132
18,1.09,4.59,1.7276654,3.4563172
19,0.25,3.7,1.0879915,3.0467193
