,X,y,PX,Py
0,0.21,3.47,0.5971816,3.4533873
1,1.13,1.96,-0.7618693,0.3697303
2,3.38,2.58,4.4478407,2.7600706
3,4.07,2.72,4.43941,2.7129908
4,1.58,2.47,0.59386814,3.4520602
5,3.43,1.61,3.7060645,1.6420487
6,1.22,0.74,1.340622,0.4645195
7,2.33,1.97,3.511646,1.4836408
8,0.33,3.56,0.65154636,3.4748654
9,3.53,4.28,3.2287092,3.8716493
10,4.42,3.69,4.1995654,3.4817681
11,3.67,0.34,3.1175613,1.2121425
12,2.57,0.37,2.4142303,0.83960485
13,3.14,3.22,3.7869906,3.7328396
14,4.76,3.34,4.4318438,3.1063447
15,1.7,3.71,1.6288354,3.771541
16,3.5,1.2,3.485194,1.4635272
17,0.68,4.65,1.1367233,3.6428618
18,1.09,4.59,1.3270564,3.6975431
19,0.25,3.7,0.67485833,3.4839067
