,X,y,PX,Py
0,0.21,3.47,0.16381848,3.6086726
1,1.13,1.96,1.1529562,1.9884534
2,3.38,2.58,3.4116921,2.6427221
3,4.07,2.72,4.307161,2.8557699
4,1.58,2.47,1.606111,2.4863038
5,3.43,1.61,3.513378,1.662431
6,1.22,0.74,1.19748,0.7394311
7,2.33,1.97,2.2970161,2.020132
8,0.33,3.56,0.27825052,3.7199147
9,3.53,4.28,3.7856905,4.641196
10,4.42,3.69,4.7712045,3.983682
11,3.67,0.34,3.8642242,0.2777438
12,2.57,0.37,2.6249926,0.38859957
13,3.14,3.22,3.2056863,3.290687
14,4.76,3.34,5.0589943,3.540279
15,1.7,3.71,1.6985216,3.8351269
16,3.5,1.2,3.6602716,1.2123543
17,0.68,4.65,0.6549908,4.7542186
18,1.09,4.59,1.0512071,4.763106
19,0.25,3.7,0.2063859,3.8572326
