,X,y,PX,Py
0,4.86,3.6,5.1656904,3.8059366
1,0.32,0.57,0.3761475,0.6143035
2,0.91,0.33,0.97546047,0.36414042
3,4.32,2.38,4.7178655,2.5504305
4,1.64,4.2,1.7372662,4.538529
5,4.68,0.22,4.888146,0.28557694
6,1.29,0.08,1.378905,0.119600676
7,0.56,1.28,0.6197738,1.3595386
8,3.29,3.26,3.5781672,3.4955578
9,4.82,2.1,5.1608377,2.209534
10,2.48,4.1,2.6701653,4.4126363
11,4.25,4.29,4.6234975,4.613588
12,2.45,1.52,2.5644898,1.6755004
13,2.34,3.12,2.4641845,3.2395787
14,2.17,4.23,2.3241255,4.5517535
15,3.17,4.61,3.465964,4.9822855
16,1.84,3.23,1.960744,3.3857758
17,0.81,1.78,0.8960612,1.9015164
18,2.02,2.69,2.1401954,2.7876468
19,4.01,1.32,4.457518,1.3923663
